Gene_Symbol	entrez_ID
POU1F1	5449
POU3F3	5455
POU2F1	5451
POU3F1	5453
POU3F4	5456
POU4F1	5457
POU6F1	5463
POU6F2	11281
POU5F1B	5462
POU2F2	5452
POU5F2	134187
NR2F6	2063
HNF4A	3172
NR2C2	7182
NR2F1	7025
NR2C1	7181
RXRG	6258
NR2E1	7101
RXRB	6257
NR2F2	7026
HNF4G	3174
RXRA	6256
RFX1	5989
RFX5	5993
RFX2	5990
RFX6	222546
RFX4	5992
RFX8	731220
RFX3	5991
RFX7	64864
RELB	5971
NFKB1	4790
REL	5966
NFATC3	4775
NFKB2	4791
NFATC2	4773
RELA	5970
NFATC4	4776
NFATC1	4772
NFAT5	10725
RUNX1	861
RUNX2	860
RUNX3	864
SP110	3431
GMEB2	26205
AIRE	326
GMEB1	10691
SP100	6672
DEAF1	10522
SP140	11262
SP140L	93349
SRF	6722
MEF2D	4209
MEF2A	4205
MEF2C	4208
MEF2B	100271849
BORCS8-MEF2B	4207
STAT3	6774
STAT5B	6777
STAT6	6778
STAT2	6773
STAT5A	6776
STAT4	6775
STAT1	6772
NR5A2	2494
NR5A1	2516
TBX21	30009
TBX2	6909
TBX3	6926
T	6862
TBX5	6910
TBX1	6899
TBX10	347853
TBX19	9095
TBX15	6913
TBX18	9096
TBX22	50945
TBR1	10716
TBX4	9496
TBX6	6911
TBX20	57057
EOMES	8320
MGA	23269
TEAD3	7005
TEAD4	7004
TEAD1	7003
TEAD2	8463
NFE2L3	9603
CREB3L3	84699
DBP	1628
HLF	3131
BATF3	55509
FOSB	2354
JUND	3727
BACH2	60468
ATF1	466
ATF2	1386
FOSL2	2355
TEF	7008
JDP2	122953
BATF	10538
BACH1	571
ATF6B	1388
NFIL3	4783
BATF2	116071
JUNB	3726
FOS	2353
FOSL1	8061
NFE2	4778
MAF	4094
MAFA	389692
CREB3L2	64764
CREB3	10488
XBP1	7494
ATF3	467
MAFK	7975
MAFF	23764
CREB5	9586
MAFG	4097
NFE2L1	4779
ATF6	22926
CREB3L4	148327
JUN	3725
MAFB	9935
CREM	1390
NRL	4901
NFE2L2	4780
ATF4	468
CREB1	1385
CREB3L1	90993
CREBZF	58487
DDIT3	1649
ATF7	11016
ATF5	22809
CRX	1406
OTX2	5015
OTX1	5013
THAP3	90326
THAP7	80764
THAP10	56906
THAP1	55145
THAP12	5612
THAP8	199745
THAP11	57215
THAP9	79725
THAP6	152815
THAP2	83591
THAP4	51078
THAP5	168451
NR1D1	9572
NR1H2	7376
RORA	6095
THRB	7068
PPARG	5468
NR1D2	9975
PPARD	5467
NR1I2	8856
NR1I3	9970
RORC	6097
RARA	5914
THRA	7067
RORB	6096
PPARA	5465
RARB	5915
RARG	5916
NR1H3	10062
NR1H4	9971
VDR	7421
TSC22D4	81628
TSC22D3	1831
TSC22D2	9819
TSC22D1	8848
TULP2	7288
TULP1	7287
TUB	7275
TULP4	56995
TULP3	7289
ZBTB24	9841
ZBTB47	92999
PATZ1	23598
BCL6B	255877
ZBTB39	9880
ZBTB21	49854
HIC1	3090
ZBTB34	403341
ZBTB2	57621
ZBTB7A	51341
ZBTB11	27107
MYNN	55892
ZBTB16	7704
GZF1	64412
ZBTB49	166793
ZBTB45	84878
ZBTB14	7541
ZBTB18	10472
ZBTB41	360023
ZBTB37	84614
ZBTB43	23099
ZBTB8A	653121
ZBTB26	57684
ZBTB6	10773
ZBTB12	221527
ZBTB40	9923
ZBTB17	7709
ZBTB48	3104
ZBTB4	57659
ZBTB38	253461
ZBTB32	27033
ZBTB3	79842
BCL6	604
HIC2	23119
ZBTB7B	51043
ZBTB20	26137
ZNF131	7690
ZBTB44	29068
ZBTB7C	201501
ZBTB42	100128927
ZBTB1	22890
ZBTB8B	728116
ZBTB25	7597
ZBED4	9889
ZBED3	84327
ZBED2	79413
ZBED1	9189
ZBED6	100381270
ZNF416	55659
ZNF8	7554
MZF1	7593
ZFP64	55734
SALL4	57167
ZNF263	10127
ZNF500	26048
MAZ	4150
ZNF180	7733
FIZ1	84922
ZNF574	64763
SP4	6671
ZNF688	146542
PRDM4	11108
GLI1	2735
PRDM2	7799
EGR1	1958
ZNF141	7700
TSHZ3	57616
EGR2	1959
ZNF442	79973
ZNF350	59348
SNAI1	6615
ZNF391	346157
SCRT2	85508
PLAGL2	5326
ZNF777	27153
ZNF317	57693
KLF2	10365
ZNF10	7556
ZNF232	7775
SALL1	6299
ZSCAN10	84891
ZNF764	92595
ZNF557	79230
PRDM12	59335
ZNF426	79088
ZNF331	55422
ZNF132	7691
ZNF700	90592
ZNF24	7572
KLF3	51274
ZNF430	80264
IKZF4	64375
ZNF282	8427
YY1	7528
ZNF175	7728
GLIS2	84662
ZNF629	23361
OVOL3	728361
ZNF225	7768
ZNF264	9422
CTCF	10664
PRDM5	11107
KLF1	10661
ZIC5	85416
ZNF710	374655
ZIM3	114026
ZNF45	7596
ZFP14	57677
ZNF787	126208
ZNF614	80110
PRDM16	63976
OSR1	130497
RBAK	57786
PRDM14	63978
ZNF16	7564
ZNF214	7761
ZNF215	7762
ZNF343	79175
OVOL2	58495
ZNF547	284306
ZNF773	374928
ZNF551	90233
ZNF256	10172
ZSCAN1	284312
ZNF117	51351
ZIC1	7545
KLF10	7071
ZNF689	115509
ZIC3	7547
ZNF19	7567
ZSCAN23	222696
ZNF235	9310
ZSCAN21	7589
ZNF333	84449
ZNF251	90987
ZNF250	58500
ZNF382	84911
ZNF613	79898
ZNF563	147837
ZNF653	115950
ZNF281	23528
ZNF514	84874
KLF15	28999
PRDM9	56979
ZNF22	7570
ZNF319	57567
ZNF3	7551
ZNF407	55628
ZNF211	10520
ZNF91	7644
ZNF646	9726
ZNF267	10308
ZNF524	147807
ZNF701	55762
ZNF526	116115
ZNF582	147948
ZFP28	140612
ZNF577	84765
ZNF560	147741
ZNF443	10224
E4F1	1877
ZNF597	146434
ZNF25	219749
ZNF17	7565
KLF13	51621
ZNF556	80032
ZNF296	162979
ZNF138	7697
ZNF57	126295
ZNF30	90075
ZNF561	93134
ZNF467	168544
ZNF439	90594
ZNF440	126070
INSM2	84684
ZNF584	201514
KLF11	8462
ZNF239	8187
ZNF431	170959
ZNF471	57573
ZNF680	340252
KLF7	8609
ZNF408	79797
GLIS1	148979
ZNF80	7634
ZNF596	169270
SP3	6670
ZNF624	57547
KLF14	136259
ZNF497	162968
ZNF417	147687
ZNF490	57474
ZNF483	158399
REST	5978
ZNF654	55279
INSM1	3642
ZNF366	167465
ZNF541	84215
ZNF491	126069
ZNF436	80818
HKR1	284459
ZNF726	730087
EGR3	1960
HINFP	25988
ZNF513	130557
ZNF77	58492
ZNF572	137209
ZNF101	94039
ZNF580	51157
ZNF784	147808
ZNF579	163033
ZFP3	124961
ZNF227	7770
ZNF554	115196
ZNF274	10782
ZNF776	284309
ZNF671	79891
ZSCAN4	201516
ZNF620	253639
ZNF236	7776
ZNF611	81856
ZNF543	125919
ZKSCAN5	23660
ZKSCAN1	7586
ZNF771	51333
ZNF48	197407
ZNF354C	30832
ZNF610	162963
ZNF660	285349
ZNF335	63925
PLAG1	5324
ZNF454	285676
PEG3	5178
ZFPM1	161882
ZNF354B	117608
ZNF283	284349
ZNF534	147658
SNAI3	333929
ZNF71	58491
ZNF696	79943
ZNF662	389114
SP1	6667
ZSCAN30	100101467
ZNF85	7639
ZNF775	285971
WT1	7490
ZNF397	84307
IKZF1	10320
ZKSCAN2	342357
SCRT1	83482
ZNF789	285989
ZSCAN22	342945
ZNF92	168374
ZNF530	348327
ZNF470	388566
SALL2	6297
ZNF26	7574
ZNF479	90827
ZNF599	148103
ZNF749	388567
ZNF568	374900
ZNF555	148254
ZNF486	90649
ZNF20	7568
ZNF687	57592
ZNF354A	6940
ZNF394	84124
ZNF224	7767
ZNF324B	388569
ZNF548	147694
ZNF202	7753
OVOL1	5017
ZNF532	55205
ZNF212	7988
ZNF420	147923
BCL11A	53335
ZNF444	55311
ZFP91	80829
ZNF70	7621
ZNF449	203523
ZNF433	163059
ZNF546	339327
ZNF564	163050
ZNF14	7561
ZNF823	55552
SP6	80320
ZNF772	400720
ZNF695	57116
ZNF34	80778
ZNF93	81931
ZNF189	7743
ZNF788	388507
ZNF669	79862
IKZF2	22807
ZNF791	163049
ZNF107	51427
ZFP30	22835
ZNF606	80095
ZNF648	127665
ZNF136	7695
IKZF3	22806
ZNF667	63934
GFI1B	8328
ZNF600	162966
ZNF587	84914
ZNF197	10168
ZNF774	342132
ZNF589	51385
ZNF649	65251
ZNF43	7594
ZNF565	147929
ZNF607	84775
ZNF512	84450
ZNF536	9745
ZNF140	7699
ZNF44	51710
ZNF770	54989
ZNF790	388536
ZNF708	7562
ZNF585A	199704
ZNF254	9534
BCL11B	64919
ZNF816	125893
ZNF98	148198
ZNF441	126068
ZNF100	163227
ZNF429	353088
ZNF781	163115
ZNF707	286075
ZXDA	7789
PRDM10	56980
ZNF705A	440077
ZNF33B	7582
ZNF675	171392
ZNF808	388558
ZNF460	10794
ZNF528	84436
PLAGL1	5325
ZNF148	7707
ZNF711	7552
ZNF219	51222
ZSCAN12	9753
ZNF37A	7587
ZNF627	199692
ZFP2	80108
ZEB1	6935
ZNF652	22834
ZNF485	220992
ZNF521	25925
ZSCAN20	7579
ZNF496	84838
ZNF670	93474
HIVEP2	3097
PRDM1	639
PRDM13	59336
ZNF292	23036
ZNF512B	57473
GFI1	2672
ZNF75D	7626
ZNF831	128611
ZNF217	7764
KLF17	128209
HIVEP3	59269
ZNF684	127396
ZFP69	339559
RLF	6018
MTF1	4520
ZNF79	7633
ZNF76	7629
ZNF618	114991
ZNF32	7580
KLF4	9314
ZXDB	158586
ZNF341	84905
ZNF510	22869
ZNF367	195828
SP5	389058
ZNF549	256051
ZIC2	7546
ZNF337	26152
SP2	6668
ZNF81	347344
ZNF157	7712
KLF9	687
ZNF311	282890
ZKSCAN3	80317
ZKSCAN4	387032
ZSCAN16	80345
ZNF165	7718
ZNF184	7738
KLF12	11278
KLF5	688
ZFAT	57623
ZNF425	155054
HIVEP1	3096
RREB1	6239
ZNF768	79724
BNC2	54796
GTF3A	2971
GLIS3	169792
ZNF205	7755
ZFY	7544
ZNF860	344787
WIZ	58525
ZXDC	79364
ZNF552	79818
ZSCAN5A	79149
ZNF233	353355
ZNF222	7673
ZNF576	79177
ZNF569	148266
ZNF566	84924
ZNF181	339318
ZNF493	284443
ZNF605	100289635
ZNF800	168850
ZNF23	7571
ZSCAN25	221785
SP9	100131390
ZNF785	146540
ZNF169	169841
ZNF484	83744
ZNF488	118738
ZNF287	57336
ZNF248	57209
GLI3	2737
ZNF501	115560
ZNF35	7584
ZNF445	353274
ZNF586	54807
ZNF134	7693
ZNF813	126017
ZNF765	91661
ZNF665	79788
ZNF143	7702
ZNF384	171017
SNAI2	6591
ZSCAN32	54925
ZNF182	7569
ZSCAN29	146050
ZNF691	51058
ZNF41	7592
ZNF99	7652
ZNF676	163223
ZNF208	7757
ZNF709	163051
ZNF846	162993
AEBP2	121536
ZNF195	7748
ZNF594	84622
ZNF705D	728957
ZNF705B	100132396
ZNF705G	100131980
ZNF74	7625
ZNF681	148213
PRDM6	93166
ZNF683	257101
ZNF792	126375
ZNF155	7711
ZNF12	7559
ZNF621	285268
ZNF630	57232
ZNF583	147949
ZNF419	79744
YY2	404281
ZNF852	285346
ZNF527	84503
GLI2	2736
ZNF692	55657
ZNF780B	163131
ZNF844	284391
ZNF146	7705
ZNF7	7553
ZNF84	7637
ZNF716	441234
ZNF625	90589
ZFP57	346171
ZNF516	9658
ZNF746	155061
ZKSCAN7	55888
ZNF812P	729648
ZNF737	100129842
ZNF302	55900
ZNF415	55786
ZNF697	90874
ZNF300	91975
ZNF28	7576
ZFP69B	65243
ZNF736	728927
ZNF133	7692
ZNF304	57343
ZNF223	7766
ZNF33A	7581
ZKSCAN8	7745
ZNF69	7620
ZNF668	79759
ZSCAN9	7746
ZNF778	197320
ZNF837	116412
ZNF200	7752
ZNF880	400713
ZNF502	91392
ZNF418	147686
ZNF410	57862
ZNF142	7701
SP8	221833
ZNF230	7773
ZNF740	283337
ZNF717	100131827
ZSCAN2	54993
ZNF90	7643
ZNF814	730051
ZNF562	54811
ZNF783	100289678
ZNF284	342909
ZNF2	7549
ZNF799	90576
ZNF275	10838
FEZF1	389549
ZNF805	390980
ZNF492	57615
ZSCAN31	64288
ZNF575	284346
OSR2	116039
ZNF879	345462
PRDM15	63977
CTCFL	140690
ZNF732	654254
ZNF276	92822
ZNF713	349075
ZNF679	168417
REPIN1	29803
KLF8	11279
ZNF480	147657
ZNF786	136051
ZNF639	51193
MECOM	2122
FEZF2	55079
ZNF273	10793
ZNF322	79692
ZNF655	79027
ZNF782	158431
KLF6	1316
ZNF154	7710
ZNF827	152485
ZNF672	79894
ZFP62	643836
PRDM8	56978
ZFP42	132625
ZNF829	374899
ZNF721	170960
ZFP41	286128
ZNF674	641339
ZNF260	339324
ZNF619	285267
GLI4	2738
ZFP82	284406
ZNF585B	92285
ZNF517	340385
ZIC4	84107
ZNF891	101060200
ZNF641	121274
ZNF763	284390
ZNF398	57541
TRERF1	55809
KLF16	83855
ZNF124	7678
ZNF678	339500
ZNF720	124411
ZFX	7543
ZNF664	144348
ZNF135	7694
ZNF507	22847
SALL3	27164
ZNF567	163081
ZNF112	7771
SP7	121340
ZNF268	10795
ZNF835	90485
ZNF324	25799
ZNF559-ZNF177	100529215
EGR4	1961
ZNF623	9831
ZNF362	149076
ZNF727	442319
ZFP37	7539
ZEB2	9839
ZNF747	65988
ZNF423	23090
ZNF853	54753
ZNF469	84627
ZFP1	162239
ZNF865	100507290
ZNF286A	57335
ZNF578	147660
ZNF75A	7627
ZNF213	7760
ZNF174	7727
ZFP90	146198
ZNF626	199777
ZNF286B	729288
ZFP92	139735
VEZF1	7716
ZNF18	7566
TSHZ1	10194
ZNF285	26974
ZNF519	162655
ZNF850	342892
ZNF234	10780
ZNF573	126231
ZNF226	7769
ZNF345	25850
ZNF529	57711
ZNF581	51545
ZNF404	342908
ZSCAN5B	342933
ZNF383	163087
ZNF540	163255
ZNF396	252884
ZNF229	7772
ZNF266	10781
ZNF570	148268
ZNF221	7638
ZNF571	51276
ZNF699	374879
ZNF461	92283
ZNF506	440515
ZNF559	84527
ZNF177	7730
ZNF793	390927
ZNF121	7675
ZNF253	56242
ZNF766	90321
ZNF677	342926
ZNF729	100287226
ZNF628	89887
ZNF587B	100293516
ZNF544	27300
ZNF550	162972
ZNF780A	284323
ZNF114	163071
ZNF845	91664
ZSCAN18	65982
ZNF257	113835
ZNF836	162962
ZNF329	79673
ZNF468	90333
ZNF432	9668
ZSCAN5DP	646698
ZNF682	91120
ZNF841	284371
ZNF160	90338
ZNF616	90317
ZNF558	148156
ZNF615	284370
ZNF728	388523
ZNF347	84671
ZNF878	729747
ZNF358	140467
ZIM2	23619
ZNF714	148206
ZNF83	55769
ZNF446	55663
ZNF473	25888
ZIK1	284307
ZNF730	100129543
ZNF320	162967
ZNF334	55713
ZNF658	26149
ZNF595	152687
KAT7	11143
ST18	9705
MYT1L	23040
L3MBTL4	91133
L3MBTL1	26013
MYT1	4661
GATA5	140628
GATA6	2627
MTA2	9219
MTA1	9112
RERE	473
GATA2	2624
GATAD2B	57459
GATA1	2623
GATA3	2625
TRPS1	7227
ZGLP1	100125288
MTA3	57504
GATA4	2626
LITAF	9516
CDIP1	29965
RNF138	51444
PIAS4	51588
ZMIZ2	83637
ZMIZ1	57178
PIAS3	10401
PIAS1	8554
PIAS2	9063
NFX1	4799
NFXL1	152518
